"chr.rc" "strand.rc" "startSD" "endSD" "readCount.posStrand" "intronStarts" "intronEnds" "confidenceType" "readCount" "GENEID" "geneReadProp" "geneReadCount" "novel" "numExons" "equal" "compatible" "numAstart" "numAend" "numTstart" "numTend" "geneScore" "geneFDR" "txScore" "txFDR"
"9" "-" NA NA 0 "16877,17167" "16968,17343" "highConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 3 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "14941,15150,16422,16877,17167,17480,17856,18175,18483" "15080,15908,16717,16968,17343,17718,18027,18380,19025" "highConfidenceJunctionReads" 2 "ENSG00000181404" 0.142857142857143 14 FALSE 10 FALSE 0 3 6 2 0 1 1 1 1
"9" "-" NA NA 0 "14941,15150" "15080,15908" "highConfidenceJunctionReads" 2 "ENSG00000181404" 0.142857142857143 14 FALSE 3 FALSE 1 2 5 1 1 1 1 1 1
"9" "-" NA NA 0 "14941,15150,16422,16877,17167,17480,17856,18175" "15080,15908,16717,16968,17369,17718,18027,18380" "lowConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 9 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "16877,17167,17856" "16968,17718,18027" "highConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 4 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "14941" "15080" "highConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 2 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "14941,15150,16877,17167,17856,18175" "15080,15908,16968,17718,18027,18380" "highConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 7 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "14941,15150,16422,16877,17167,17480" "15080,15908,16717,16968,17343,17718" "highConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 7 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "14941,15150,16877,17167,17856,18175,18480" "15080,15908,16968,17343,18027,18380,24850" "lowConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 8 NA NA NA NA NA NA NA NA NA NA
"9" "-" NA NA 0 "24553" "24850" "lowConfidenceJunctionReads" 1 "ENSG00000181404" 0.0714285714285714 14 FALSE 2 NA NA NA NA NA NA NA NA NA NA
